Account Number,Meter ID,Billing Start,Billing End,kWh,Unit,Tariff,Service Address
U-1135,MTR-SFO-012,2026-04-26,2026-05-26,128620,kWh,General Service,Plant Delhi
U-1136,MTR-MUM-015,2026-04-27,2026-05-24,43998,kWh,HT Industrial,Plant Delhi
U-1137,MTR-SFO-024,2026-04-28,2026-05-27,147819,kWh,Commercial,Lab San Francisco
U-1138,MTR-DEL-007,2026-04-29,2026-05-26,64598,kWh,Green Supply,Office Mumbai
U-1139,MTR-BLR-024,2026-04-30,2026-06-13,32322,kWh,Green Supply,Plant Delhi
U-1140,MTR-BLR-014,2026-05-01,2026-05-29,21775,kWh,General Service,Warehouse Bangalore
U-1141,MTR-DEL-008,2026-05-02,2026-06-15,162744,kWh,Green Supply,Lab San Francisco
U-1142,MTR-DEL-001,2026-05-03,2026-05-31,72432,kWh,HT Industrial,Plant Delhi
U-1143,MTR-LON-011,2026-05-04,2026-06-03,120485,kWh,Commercial,Office Mumbai
U-1144,MTR-DEL-017,2026-05-05,2026-06-18,3597,kWh,HT Industrial,Plant Delhi
U-1145,MTR-SFO-020,2026-05-06,2026-06-06,143386,kWh,Time of Use,Lab San Francisco
U-1146,MTR-LON-007,2026-05-07,2026-06-04,14920,kWh,Green Supply,Plant Delhi
U-1147,MTR-BLR-001,2026-05-08,2026-06-08,71533,kWh,General Service,Warehouse Bangalore
U-1148,MTR-BLR-007,2026-05-09,2026-06-09,23883,kWh,Time of Use,Warehouse Bangalore
U-1149,MTR-SFO-010,2026-05-10,2026-06-10,71520,kWh,HT Industrial,Plant Delhi
U-1150,MTR-DEL-019,2026-05-11,2026-06-11,126892,kWh,Green Supply,Office Mumbai
U-1151,MTR-DEL-025,2026-05-12,2026-06-09,158949,kWh,Commercial,Plant Delhi
U-1152,MTR-MUM-006,2026-05-13,2026-06-12,90378,kWh,HT Industrial,Warehouse Bangalore
U-1153,MTR-SFO-010,2026-05-14,2026-06-13,52053,kWh,HT Industrial,Plant Delhi
U-1154,MTR-SFO-018,2026-05-15,2026-06-13,155338,kWh,Green Supply,Lab San Francisco
U-1155,MTR-BLR-022,2026-05-16,2026-06-14,164502,kWh,Time of Use,Lab San Francisco
U-1156,MTR-LON-020,2026-05-17,2026-06-30,19886,kWh,Green Supply,Lab San Francisco
U-1157,MTR-MUM-021,2026-05-18,2026-06-14,143371,kWh,Time of Use,Office Mumbai
U-1158,MTR-BLR-006,2026-05-19,2026-06-18,103124,kWh,Time of Use,Plant Delhi
U-1159,MTR-DEL-024,2026-05-20,2026-07-03,113643,kWh,Time of Use,Warehouse Bangalore
U-1160,MTR-BLR-010,2026-05-21,2026-06-17,112085,kWh,HT Industrial,Warehouse Bangalore
U-1161,MTR-MUM-008,2026-05-22,2026-07-05,55153,kWh,Commercial,Lab San Francisco
U-1162,MTR-LON-018,2026-05-23,2026-06-20,14209,kWh,Time of Use,Office Mumbai
U-1163,MTR-SFO-024,2026-05-24,2026-07-07,121365,kWh,Time of Use,Plant Delhi
U-1164,MTR-LON-004,2026-05-25,2026-07-08,33140,kWh,General Service,Factory London
U-1165,MTR-LON-016,2026-05-26,2026-06-22,173351,kWh,Commercial,Factory London
U-1166,MTR-LON-022,2026-05-27,2026-06-26,148398,kWh,HT Industrial,Office Mumbai
U-1167,MTR-BLR-016,2026-05-28,2026-06-26,41024,kWh,Commercial,Plant Delhi
U-1168,MTR-DEL-004,2026-05-29,2026-06-28,166847,kWh,Commercial,Factory London
U-1169,MTR-DEL-023,2026-05-30,2026-06-29,127267,kWh,HT Industrial,Factory London
U-1170,MTR-MUM-022,2026-05-31,2026-07-14,134978,kWh,Green Supply,Warehouse Bangalore
U-1171,MTR-MUM-016,2026-06-01,2026-07-02,119115,kWh,Commercial,Factory London
U-1172,MTR-DEL-007,2026-06-02,2026-07-01,2505,kWh,Commercial,Plant Delhi
U-1173,MTR-SFO-020,2026-06-03,2026-07-17,44978,kWh,Commercial,Office Mumbai
U-1174,MTR-LON-021,2026-06-04,2026-07-03,134628,kWh,Commercial,Factory London
U-1175,MTR-BLR-016,2026-06-05,2026-07-05,41165,kWh,Commercial,Lab San Francisco
U-1176,MTR-DEL-015,2026-06-06,2026-07-06,128668,kWh,General Service,Warehouse Bangalore
U-1177,MTR-LON-001,2026-06-07,2026-07-05,56583,kWh,Time of Use,Warehouse Bangalore
U-1178,MTR-DEL-010,2026-06-08,2026-07-05,38824,kWh,Time of Use,Office Mumbai
U-1179,MTR-DEL-024,2026-06-09,2026-07-10,91485,kWh,Commercial,Warehouse Bangalore
U-1180,MTR-SFO-008,2026-06-10,2026-07-11,164535,kWh,Commercial,Plant Delhi
U-1181,MTR-LON-016,2026-06-11,2026-07-10,156758,kWh,HT Industrial,Plant Delhi
U-1182,MTR-MUM-020,2026-06-12,2026-07-11,24579,kWh,Time of Use,Plant Delhi
U-1183,MTR-SFO-024,2026-06-13,2026-07-27,127017,kWh,General Service,Factory London
U-1184,MTR-MUM-016,2026-06-14,2026-07-12,43094,kWh,HT Industrial,Plant Delhi
U-1185,MTR-MUM-025,2026-06-15,2026-07-29,146340,kWh,HT Industrial,Lab San Francisco
U-1186,MTR-MUM-007,2026-06-16,2026-07-30,132461,kWh,HT Industrial,Lab San Francisco
U-1187,MTR-BLR-018,2026-06-17,2026-07-18,146554,kWh,HT Industrial,Plant Delhi
U-1188,MTR-MUM-018,2026-06-18,2026-07-15,57973,kWh,General Service,Lab San Francisco
U-1189,MTR-LON-021,2026-06-19,2026-07-16,26698,kWh,Commercial,Warehouse Bangalore
U-1190,MTR-MUM-002,2026-06-20,2026-07-17,60820,kWh,HT Industrial,Lab San Francisco
U-1191,MTR-DEL-025,2026-06-21,2026-07-21,7745,kWh,Commercial,Factory London
U-1192,MTR-SFO-023,2026-06-22,2026-07-21,147799,kWh,Green Supply,Plant Delhi
U-1193,MTR-MUM-025,2026-06-23,2026-07-21,105489,kWh,HT Industrial,Factory London
U-1194,MTR-DEL-008,2026-06-24,2026-07-22,131800,kWh,Green Supply,Lab San Francisco
U-1195,MTR-SFO-008,2026-06-25,2026-07-23,75295,kWh,Time of Use,Factory London
U-1196,MTR-LON-003,2026-06-26,2026-07-27,99123,kWh,HT Industrial,Lab San Francisco
U-1197,MTR-DEL-021,2026-06-27,2026-07-24,12678,kWh,Commercial,Plant Delhi
U-1198,MTR-MUM-007,2026-06-28,2026-07-29,63351,kWh,General Service,Lab San Francisco
U-1199,MTR-BLR-010,2026-06-29,2026-07-26,71055,kWh,Green Supply,Plant Delhi
U-1200,MTR-MUM-024,2026-01-01,2026-01-28,129585,kWh,HT Industrial,Lab San Francisco
U-1201,MTR-DEL-022,2026-01-02,2026-01-31,153809,kWh,Commercial,Office Mumbai
U-1202,MTR-DEL-021,2026-01-03,2026-02-03,173225,kWh,HT Industrial,Warehouse Bangalore
U-1203,MTR-SFO-022,2026-01-04,2026-02-03,55282,kWh,HT Industrial,Office Mumbai
U-1204,MTR-MUM-013,2026-01-05,2026-02-05,148718,kWh,General Service,Plant Delhi
U-1205,MTR-LON-024,2026-01-06,2026-02-04,84796,kWh,HT Industrial,Plant Delhi
U-1206,MTR-BLR-004,2026-01-07,2026-02-05,72990,kWh,HT Industrial,Plant Delhi
U-1207,MTR-LON-006,2026-01-08,2026-02-04,17692,kWh,Green Supply,Factory London
U-1208,MTR-SFO-014,2026-01-09,2026-02-05,90609,kWh,HT Industrial,Warehouse Bangalore
U-1209,MTR-DEL-008,2026-01-10,2026-02-23,19383,kWh,Green Supply,Office Mumbai
U-1210,MTR-BLR-001,2026-01-11,2026-02-08,84413,kWh,Time of Use,Office Mumbai
U-1211,MTR-LON-021,2026-01-12,2026-02-25,44086,kWh,Commercial,Factory London
U-1212,MTR-SFO-019,2026-01-13,2026-02-11,55273,kWh,Green Supply,Office Mumbai
U-1213,MTR-BLR-009,2026-01-14,2026-02-12,139697,kWh,General Service,Plant Delhi
U-1214,MTR-MUM-021,2026-01-15,2026-02-12,166709,kWh,Commercial,Factory London
U-1215,MTR-BLR-015,2026-01-16,2026-02-14,48231,kWh,General Service,Plant Delhi
U-1216,MTR-BLR-018,2026-01-17,2026-02-15,135408,kWh,General Service,Factory London
U-1217,MTR-LON-004,2026-01-18,2026-02-14,133079,kWh,Time of Use,Factory London
U-1218,MTR-SFO-002,2026-01-19,2026-02-17,171684,kWh,General Service,Office Mumbai
U-1219,MTR-BLR-004,2026-01-20,2026-02-18,115507,kWh,General Service,Lab San Francisco
U-1220,MTR-LON-009,2026-01-21,2026-02-21,63579,kWh,HT Industrial,Plant Delhi
U-1221,MTR-SFO-025,2026-01-22,2026-02-21,31291,kWh,Commercial,Factory London
U-1222,MTR-BLR-014,2026-01-23,2026-02-23,37376,kWh,Commercial,Factory London
U-1223,MTR-SFO-009,2026-01-24,2026-02-21,135202,kWh,HT Industrial,Plant Delhi
U-1224,MTR-MUM-008,2026-01-25,2026-02-23,5268,kWh,HT Industrial,Factory London
U-1225,MTR-SFO-006,2026-01-26,2026-02-26,148748,kWh,Commercial,Warehouse Bangalore
U-1226,MTR-SFO-015,2026-01-27,2026-02-24,31050,kWh,Green Supply,Plant Delhi
U-1227,MTR-BLR-024,2026-01-28,2026-02-24,73276,kWh,Green Supply,Office Mumbai
U-1228,MTR-DEL-012,2026-01-29,2026-02-26,8690,kWh,Time of Use,Factory London
U-1229,MTR-BLR-021,2026-01-30,2026-02-26,86667,kWh,Green Supply,Plant Delhi
U-1230,MTR-BLR-007,2026-01-31,2026-02-27,72286,kWh,HT Industrial,Warehouse Bangalore
U-1231,MTR-MUM-008,2026-02-01,2026-03-03,102699,kWh,General Service,Lab San Francisco
U-1232,MTR-DEL-017,2026-02-02,2026-03-01,134234,kWh,Time of Use,Office Mumbai
U-1233,MTR-SFO-024,2026-02-03,2026-03-02,73654,kWh,Commercial,Lab San Francisco
U-1234,MTR-BLR-008,2026-02-04,2026-03-04,33809,kWh,Commercial,Plant Delhi
U-1235,MTR-BLR-018,2026-02-05,2026-03-04,158809,kWh,Time of Use,Plant Delhi
U-1236,MTR-SFO-003,2026-02-06,2026-03-05,133291,kWh,Time of Use,Warehouse Bangalore
U-1237,MTR-LON-003,2026-02-07,2026-03-10,122834,kWh,Green Supply,Factory London
U-1238,MTR-DEL-018,2026-02-08,2026-03-10,77767,kWh,Green Supply,Warehouse Bangalore
U-1239,MTR-LON-017,2026-02-09,2026-03-25,60056,kWh,Commercial,Plant Delhi
U-1240,MTR-BLR-021,2026-02-10,2026-03-10,41490,kWh,Green Supply,Warehouse Bangalore
U-1241,MTR-LON-006,2026-02-11,2026-03-10,45541,kWh,Green Supply,Office Mumbai
U-1242,MTR-DEL-002,2026-02-12,2026-03-11,81540,kWh,Time of Use,Office Mumbai
U-1243,MTR-SFO-018,2026-02-13,2026-03-12,113904,kWh,Commercial,Lab San Francisco
U-1244,MTR-SFO-017,2026-02-14,2026-03-16,122584,kWh,Commercial,Lab San Francisco
U-1245,MTR-DEL-016,2026-02-15,2026-03-14,106217,kWh,Green Supply,Lab San Francisco
U-1246,MTR-MUM-024,2026-02-16,2026-03-16,73237,kWh,Green Supply,Plant Delhi
U-1247,MTR-MUM-001,2026-02-17,2026-03-19,81018,kWh,Time of Use,Lab San Francisco
U-1248,MTR-LON-017,2026-02-18,2026-03-20,164129,kWh,General Service,Warehouse Bangalore
U-1249,MTR-SFO-009,2026-02-19,2026-03-18,123995,kWh,General Service,Office Mumbai
U-1250,MTR-DEL-008,2026-02-20,2026-04-05,39291,kWh,Green Supply,Office Mumbai
U-1251,MTR-BLR-010,2026-02-21,2026-03-23,5017,kWh,Green Supply,Office Mumbai
U-1252,MTR-SFO-014,2026-02-22,2026-03-25,53072,kWh,Green Supply,Plant Delhi
U-1253,MTR-LON-023,2026-02-23,2026-03-24,55229,kWh,HT Industrial,Warehouse Bangalore
U-1254,MTR-DEL-025,2026-02-24,2026-03-26,109641,kWh,HT Industrial,Factory London
U-1255,MTR-DEL-014,2026-02-25,2026-03-26,132651,kWh,Green Supply,Factory London
U-1256,MTR-DEL-014,2026-02-26,2026-03-27,59309,kWh,Commercial,Plant Delhi
U-1257,MTR-DEL-024,2026-02-27,2026-04-12,142018,kWh,Green Supply,Warehouse Bangalore
U-1258,MTR-SFO-009,2026-02-28,2026-03-29,148077,kWh,Green Supply,Factory London
U-1259,MTR-LON-011,2026-03-01,2026-03-29,77914,kWh,Green Supply,Office Mumbai
U-1260,MTR-DEL-014,2026-03-02,2026-03-30,169259,kWh,Green Supply,Lab San Francisco
U-1261,MTR-SFO-025,2026-03-03,2026-04-01,21522,kWh,Green Supply,Office Mumbai
U-1262,MTR-LON-020,2026-03-04,2026-04-03,88838,kWh,Green Supply,Plant Delhi
U-1263,MTR-BLR-018,2026-03-05,2026-04-05,28487,kWh,Green Supply,Office Mumbai
U-1264,MTR-BLR-023,2026-03-06,2026-04-04,27535,kWh,Green Supply,Lab San Francisco
U-1265,MTR-LON-010,2026-03-07,2026-04-06,31594,kWh,Time of Use,Warehouse Bangalore
U-1266,MTR-BLR-005,2026-03-08,2026-04-08,48242,kWh,Time of Use,Warehouse Bangalore
U-1267,MTR-DEL-022,2026-03-09,2026-04-22,143560,kWh,HT Industrial,Lab San Francisco
U-1268,MTR-MUM-015,2026-03-10,2026-04-09,138199,kWh,Green Supply,Warehouse Bangalore
U-1269,MTR-LON-012,2026-03-11,2026-04-08,65327,kWh,Time of Use,Warehouse Bangalore
U-1270,MTR-DEL-020,2026-03-12,2026-04-10,47206,kWh,HT Industrial,Warehouse Bangalore
U-1271,MTR-LON-016,2026-03-13,2026-04-26,40985,kWh,General Service,Factory London
U-1272,MTR-LON-014,2026-03-14,2026-04-14,129461,kWh,General Service,Factory London
U-1273,MTR-BLR-017,2026-03-15,2026-04-12,43136,kWh,General Service,Lab San Francisco
U-1274,MTR-BLR-025,2026-03-16,2026-04-29,154398,kWh,HT Industrial,Lab San Francisco
U-1275,MTR-SFO-012,2026-03-17,2026-04-17,63811,kWh,General Service,Office Mumbai
U-1276,MTR-MUM-020,2026-03-18,2026-04-17,93652,kWh,Time of Use,Lab San Francisco
U-1277,MTR-BLR-007,2026-03-19,2026-04-19,159066,kWh,Time of Use,Office Mumbai
U-1278,MTR-LON-020,2026-03-20,2026-04-17,40016,kWh,General Service,Plant Delhi
U-1279,MTR-BLR-008,2026-03-21,2026-04-17,156316,kWh,HT Industrial,Lab San Francisco
U-1280,MTR-DEL-010,2026-03-22,2026-04-20,95892,kWh,Green Supply,Factory London
U-1281,MTR-LON-015,2026-03-23,2026-04-23,6164,kWh,HT Industrial,Factory London
U-1282,MTR-LON-023,2026-03-24,2026-04-20,91107,kWh,Time of Use,Lab San Francisco
U-1283,MTR-MUM-023,2026-03-25,2026-04-25,68771,kWh,Time of Use,Plant Delhi
U-1284,MTR-LON-013,2026-03-26,2026-04-24,65600,kWh,Green Supply,Warehouse Bangalore
U-1285,MTR-LON-011,2026-03-27,2026-04-24,113152,kWh,HT Industrial,Factory London
U-1286,MTR-DEL-021,2026-03-28,2026-04-27,145765,kWh,Green Supply,Warehouse Bangalore
U-1287,MTR-SFO-021,2026-03-29,2026-04-28,74452,kWh,HT Industrial,Factory London
U-1288,MTR-MUM-023,2026-03-30,2026-04-30,85381,kWh,Green Supply,Office Mumbai
U-1289,MTR-SFO-003,2026-03-31,2026-04-30,95784,kWh,Commercial,Plant Delhi
U-1290,MTR-SFO-013,2026-04-01,2026-04-30,126973,kWh,Commercial,Office Mumbai
U-1291,MTR-BLR-018,2026-04-02,2026-05-03,160439,kWh,Green Supply,Factory London
U-1292,MTR-MUM-005,2026-04-03,2026-05-02,73775,kWh,Time of Use,Warehouse Bangalore
U-1293,MTR-SFO-017,2026-04-04,2026-05-05,133788,kWh,General Service,Lab San Francisco
U-1294,MTR-BLR-003,2026-04-05,2026-05-05,157176,kWh,HT Industrial,Factory London
U-1295,MTR-BLR-011,2026-04-06,2026-05-03,301,kWh,Green Supply,Factory London
U-1296,MTR-LON-018,2026-04-07,2026-05-07,15664,kWh,Time of Use,Warehouse Bangalore
U-1297,MTR-LON-020,2026-04-08,2026-05-06,107736,kWh,HT Industrial,Warehouse Bangalore
U-1298,MTR-DEL-015,2026-04-09,2026-05-08,127299,kWh,Commercial,Plant Delhi
U-1299,MTR-DEL-001,2026-04-10,2026-05-09,42308,kWh,Green Supply,Office Mumbai
U-1300,MTR-SFO-023,2026-04-11,2026-05-25,6935,kWh,General Service,Plant Delhi
U-1301,MTR-DEL-011,2026-04-12,2026-05-13,169624,kWh,Green Supply,Plant Delhi
U-1302,MTR-MUM-023,2026-04-13,2026-05-13,113453,kWh,Commercial,Office Mumbai
U-1303,MTR-LON-003,2026-04-14,2026-05-13,133814,kWh,HT Industrial,Plant Delhi
U-1304,MTR-SFO-009,2026-04-15,2026-05-13,23003,kWh,HT Industrial,Office Mumbai
U-1305,MTR-SFO-013,2026-04-16,2026-05-30,7584,kWh,General Service,Plant Delhi
U-1306,MTR-SFO-002,2026-04-17,2026-05-16,82170,kWh,General Service,Plant Delhi
U-1307,MTR-SFO-016,2026-04-18,2026-05-18,128440,kWh,Commercial,Lab San Francisco
U-1308,MTR-LON-002,2026-04-19,2026-05-17,60933,kWh,General Service,Factory London
U-1309,MTR-LON-004,2026-04-20,2026-05-17,76716,kWh,General Service,Warehouse Bangalore
U-1310,MTR-SFO-009,2026-04-21,2026-05-20,106996,kWh,Commercial,Warehouse Bangalore
U-1311,MTR-DEL-007,2026-04-22,2026-05-22,123464,kWh,Commercial,Factory London
U-1312,MTR-BLR-004,2026-04-23,2026-05-20,153404,kWh,Commercial,Lab San Francisco
U-1313,MTR-LON-019,2026-04-24,2026-05-25,168805,kWh,Green Supply,Office Mumbai
U-1314,MTR-MUM-010,2026-04-25,2026-05-23,83210,kWh,Green Supply,Lab San Francisco
U-1315,MTR-SFO-020,2026-04-26,2026-05-26,91266,kWh,Commercial,Factory London
U-1316,MTR-MUM-007,2026-04-27,2026-05-26,65594,kWh,General Service,Factory London
U-1317,MTR-MUM-013,2026-04-28,2026-06-11,155348,kWh,Time of Use,Warehouse Bangalore
U-1318,MTR-DEL-017,2026-04-29,2026-05-28,79812,kWh,HT Industrial,Factory London
U-1319,MTR-SFO-007,2026-04-30,2026-05-27,158361,kWh,HT Industrial,Factory London
U-1320,MTR-LON-017,2026-05-01,2026-06-01,70045,kWh,General Service,Office Mumbai
U-1321,MTR-SFO-019,2026-05-02,2026-06-02,146075,kWh,Commercial,Factory London
U-1322,MTR-LON-014,2026-05-03,2026-05-31,81463,kWh,General Service,Office Mumbai
U-1323,MTR-SFO-005,2026-05-04,2026-06-17,82199,kWh,General Service,Plant Delhi
U-1324,MTR-SFO-011,2026-05-05,2026-06-03,55467,kWh,Green Supply,Office Mumbai
U-1325,MTR-BLR-010,2026-05-06,2026-06-19,169796,kWh,General Service,Lab San Francisco
U-1326,MTR-LON-003,2026-05-07,2026-06-03,72351,kWh,Time of Use,Plant Delhi
U-1327,MTR-DEL-015,2026-05-08,2026-06-04,67029,kWh,HT Industrial,Plant Delhi
U-1328,MTR-LON-004,2026-05-09,2026-06-05,144922,kWh,General Service,Factory London
U-1329,MTR-BLR-024,2026-05-10,2026-06-23,44077,kWh,General Service,Plant Delhi
U-1330,MTR-SFO-001,2026-05-11,2026-06-09,161983,kWh,Time of Use,Factory London
U-1331,MTR-MUM-014,2026-05-12,2026-06-08,52648,kWh,Commercial,Lab San Francisco
U-1332,MTR-SFO-006,2026-05-13,2026-06-10,98693,kWh,Green Supply,Factory London
U-1333,MTR-LON-024,2026-05-14,2026-06-14,98155,kWh,General Service,Lab San Francisco
U-1334,MTR-MUM-018,2026-05-15,2026-06-11,170385,kWh,Commercial,Factory London
U-1335,MTR-DEL-025,2026-05-16,2026-06-29,1239,kWh,General Service,Office Mumbai
U-1336,MTR-LON-016,2026-05-17,2026-06-16,58111,kWh,HT Industrial,Warehouse Bangalore
U-1337,MTR-SFO-006,2026-05-18,2026-07-01,86439,kWh,Time of Use,Lab San Francisco
U-1338,MTR-MUM-014,2026-05-19,2026-06-18,12097,kWh,Time of Use,Plant Delhi
U-1339,MTR-LON-006,2026-05-20,2026-06-18,148324,kWh,Green Supply,Factory London
U-1340,MTR-DEL-008,2026-05-21,2026-06-20,81327,kWh,HT Industrial,Warehouse Bangalore
U-1341,MTR-MUM-013,2026-05-22,2026-06-22,106409,kWh,Time of Use,Plant Delhi
U-1342,MTR-SFO-019,2026-05-23,2026-06-22,7940,kWh,Green Supply,Warehouse Bangalore
U-1343,MTR-SFO-019,2026-05-24,2026-06-20,153174,kWh,General Service,Office Mumbai
U-1344,MTR-SFO-015,2026-05-25,2026-06-21,70780,kWh,Green Supply,Lab San Francisco
U-1345,MTR-SFO-009,2026-05-26,2026-06-26,36954,kWh,Time of Use,Office Mumbai
U-1346,MTR-DEL-014,2026-05-27,2026-06-26,110377,kWh,Commercial,Lab San Francisco
U-1347,MTR-LON-023,2026-05-28,2026-07-11,43724,kWh,Time of Use,Plant Delhi
U-1348,MTR-MUM-022,2026-05-29,2026-06-29,39125,kWh,Green Supply,Warehouse Bangalore
U-1349,MTR-LON-023,2026-05-30,2026-06-29,167530,kWh,Time of Use,Plant Delhi
U-1000,MTR-MUM-014,2026-05-31,2026-06-30,81609,kWh,HT Industrial,Lab San Francisco
U-1001,MTR-DEL-005,2026-06-01,2026-07-02,116888,kWh,Time of Use,Office Mumbai
U-1002,MTR-LON-008,2026-06-02,2026-06-01,21527,kWh,Green Supply,Plant Delhi
U-1003,MTR-SFO-022,2026-06-03,2026-07-03,50146,kWh,HT Industrial,Warehouse Bangalore
U-1004,MTR-LON-008,2026-06-04,2026-07-04,95214,kWh,General Service,Factory London
U-1005,MTR-SFO-014,2026-06-05,2026-07-06,67384,kWh,Commercial,Warehouse Bangalore
U-1006,,2026-06-06,2026-07-20,2881,kWh,HT Industrial,Plant Delhi
U-1007,MTR-SFO-002,2026-06-07,2026-07-04,155873,kWh,Time of Use,Warehouse Bangalore
U-1008,MTR-LON-002,2026-06-08,2026-07-08,88203,kWh,Green Supply,Plant Delhi
U-1009,MTR-BLR-011,2026-06-09,2026-07-09,88545,kWh,Time of Use,Office Mumbai
U-1010,MTR-DEL-023,2026-06-10,2026-07-24,49100,kWh,Commercial,Warehouse Bangalore
U-1011,MTR-MUM-004,2026-06-11,2026-07-11,2352,kWh,General Service,Office Mumbai
U-1012,MTR-MUM-007,2026-06-12,2026-07-10,78156,kWh,Commercial,Lab San Francisco
U-1013,MTR-MUM-025,2026-06-13,2026-07-27,112042,kWh,Commercial,Warehouse Bangalore
U-1014,MTR-DEL-017,2026-06-14,2026-07-11,86647,kWh,General Service,Lab San Francisco
U-1015,MTR-SFO-012,2026-06-15,2026-07-14,150474,kWh,Green Supply,Plant Delhi
U-1016,MTR-LON-006,2026-06-16,2026-07-30,118498,kWh,HT Industrial,Lab San Francisco
U-1017,MTR-SFO-005,2026-06-17,2026-07-18,94077,kWh,Time of Use,Lab San Francisco
U-1018,MTR-MUM-022,2026-06-18,2026-08-01,29677,kWh,General Service,Warehouse Bangalore
U-1019,MTR-LON-003,2026-06-19,2026-07-19,70031,kWh,HT Industrial,Lab San Francisco
U-1020,MTR-LON-015,2026-06-20,2026-07-19,22201,kWh,Commercial,Office Mumbai
U-1021,MTR-DEL-018,2026-06-21,2026-07-20,126932,kWh,Time of Use,Factory London
U-1022,MTR-DEL-005,2026-06-22,2026-07-20,56232,kWh,Commercial,Office Mumbai
U-1023,MTR-LON-014,2026-06-23,2026-07-22,141273,kWh,Time of Use,Plant Delhi
U-1024,MTR-LON-020,2026-06-24,2026-07-25,172571,kWh,Time of Use,Warehouse Bangalore
U-1025,MTR-MUM-024,2026-06-25,2026-07-22,132857,kWh,Time of Use,Warehouse Bangalore
U-1026,MTR-SFO-011,2026-06-26,2026-08-09,114298,kWh,Green Supply,Factory London
U-1027,MTR-MUM-014,2026-06-27,2026-08-10,77774,kWh,HT Industrial,Office Mumbai
U-1028,MTR-DEL-013,2026-06-28,2026-07-27,124083,kWh,General Service,Lab San Francisco
U-1029,MTR-BLR-004,2026-06-29,2026-07-29,31007,kWh,HT Industrial,Factory London
U-1030,MTR-MUM-012,2026-01-01,2026-02-01,94655,kWh,HT Industrial,Factory London
U-1031,MTR-DEL-003,2026-01-02,2026-01-29,58550,kWh,General Service,Plant Delhi
U-1032,MTR-LON-009,2026-01-03,2026-01-31,172861,kWh,General Service,Factory London
U-1033,MTR-DEL-021,2026-01-04,2026-02-04,84039,kWh,Green Supply,Warehouse Bangalore
U-1034,MTR-BLR-015,2026-01-05,2026-02-18,70086,kWh,HT Industrial,Factory London
U-1035,MTR-DEL-025,2026-01-06,2026-02-06,88604,kWh,Time of Use,Plant Delhi
U-1036,MTR-MUM-010,2026-01-07,2026-02-06,21157,kWh,HT Industrial,Plant Delhi
U-1037,MTR-DEL-017,2026-01-08,2026-02-08,133645,kWh,Commercial,Plant Delhi
U-1038,MTR-MUM-007,2026-01-09,2026-02-06,31554,kWh,Commercial,Warehouse Bangalore
U-1039,MTR-BLR-002,2026-01-10,2026-02-09,18540,kWh,Commercial,Lab San Francisco
U-1040,MTR-DEL-006,2026-01-11,2026-02-07,5690,kWh,HT Industrial,Lab San Francisco
U-1041,MTR-SFO-013,2026-01-12,2026-02-10,159484,kWh,Time of Use,Plant Delhi
U-1042,MTR-LON-014,2026-01-13,2026-02-13,167472,kWh,Green Supply,Office Mumbai
U-1043,MTR-DEL-004,2026-01-14,2026-02-14,93085,kWh,Commercial,Warehouse Bangalore
U-1044,MTR-MUM-007,2026-01-15,2026-02-13,108312,kWh,HT Industrial,Office Mumbai
U-1045,MTR-BLR-001,2026-01-16,2026-02-15,117775,kWh,Green Supply,Office Mumbai
U-1046,MTR-DEL-008,2026-01-17,2026-02-13,74300,kWh,Commercial,Warehouse Bangalore
U-1047,MTR-BLR-020,2026-01-18,2026-02-17,158471,kWh,Green Supply,Warehouse Bangalore
U-1048,MTR-LON-005,2026-01-19,2026-03-04,1376,kWh,Time of Use,Lab San Francisco
U-1049,MTR-MUM-001,2026-01-20,2026-02-18,168101,kWh,HT Industrial,Lab San Francisco
U-1050,MTR-MUM-018,2026-01-21,2026-02-17,39062,kWh,General Service,Warehouse Bangalore
U-1051,MTR-MUM-015,2026-01-22,2026-02-19,147715,kWh,General Service,Office Mumbai
U-1052,MTR-MUM-011,2026-01-23,2026-02-20,124707,kWh,Commercial,Plant Delhi
U-1053,MTR-BLR-002,2026-01-24,2026-02-20,134178,kWh,HT Industrial,Lab San Francisco
U-1054,MTR-SFO-014,2026-01-25,2026-03-10,90105,kWh,HT Industrial,Factory London
U-1055,MTR-BLR-006,2026-01-26,2026-02-24,171511,kWh,HT Industrial,Lab San Francisco
U-1056,MTR-DEL-022,2026-01-27,2026-03-12,125643,kWh,HT Industrial,Office Mumbai
U-1057,MTR-SFO-001,2026-01-28,2026-02-28,106346,kWh,General Service,Plant Delhi
U-1058,MTR-DEL-007,2026-01-29,2026-03-01,39035,kWh,Time of Use,Plant Delhi
U-1059,MTR-LON-020,2026-01-30,2026-02-27,156354,kWh,Commercial,Office Mumbai
U-1060,MTR-SFO-009,2026-01-31,2026-02-27,108920,kWh,General Service,Lab San Francisco
U-1061,MTR-DEL-023,2026-02-01,2026-03-17,62367,kWh,HT Industrial,Office Mumbai
U-1062,MTR-LON-015,2026-02-02,2026-03-18,169109,kWh,Time of Use,Office Mumbai
U-1063,MTR-MUM-004,2026-02-03,2026-03-19,164896,kWh,General Service,Factory London
U-1064,MTR-BLR-015,2026-02-04,2026-03-04,21743,kWh,Green Supply,Lab San Francisco
U-1065,MTR-BLR-011,2026-02-05,2026-03-07,1724,kWh,HT Industrial,Plant Delhi
